Item,Response
1,T
2,F
3,T
4,T
5,T
6,F
7,F
8,T
9,F
10,F
11,F
12,F
13,F
14,F
15,T
16,F
17,F
18,T
19,F
20,T
21,F
22,F
23,T
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,T
39,F
40,T
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,F
49,F
50,T
51,F
52,F
53,T
54,T
55,F
56,F
57,F
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,T
68,F
69,F
70,F
71,T
72,F
73,F
74,F
75,T
76,F
77,F
78,F
79,F
80,F
81,F
82,F
83,F
84,F
85,F
86,F
87,F
88,F
89,F
90,F
91,F
92,T
93,F
94,F
95,F
96,F
97,F
98,F
99,T
100,T
101,F
102,F
103,F
104,F
105,F
106,F
107,F
108,T
109,F
110,F
111,F
112,F
113,F
114,F
115,F
116,F
117,F
118,F
119,F
120,F
121,F
122,F
123,F
124,F
125,F
126,F
127,F
128,T
129,T
130,F
131,F
132,F
133,F
134,F
135,F
136,F
137,F
138,F
139,F
140,T
141,F
142,F
143,F
144,F
145,F
146,T
147,F
148,F
149,T
150,F
151,F
152,F
153,F
154,F
155,F
156,F
157,F
158,F
159,F
160,F
161,T
162,F
163,F
164,F
165,T
166,F
167,F
168,F
169,F
170,F
171,T
172,F
173,F
174,F
175,F
176,T
177,T
178,F
179,T
180,F
181,F
182,F
183,F
184,T
185,F
186,F
187,F
188,T
189,F
190,F
191,T
192,F
193,F
194,F
195,T
