table,scale,raw_score,br_value
D.2_part2_personality,1,0,0
D.2_part2_personality,1,1,5
D.2_part2_personality,1,2,12
D.2_part2_personality,1,3,19
D.2_part2_personality,1,4,25
D.2_part2_personality,1,5,30
D.2_part2_personality,1,6,35
D.2_part2_personality,1,7,39
D.2_part2_personality,1,8,43
D.2_part2_personality,1,9,47
D.2_part2_personality,1,10,50
D.2_part2_personality,1,11,53
D.2_part2_personality,1,12,56
D.2_part2_personality,1,13,58
D.2_part2_personality,1,14,60
D.2_part2_personality,1,15,62
D.2_part2_personality,1,16,64
D.2_part2_personality,1,17,66
D.2_part2_personality,1,18,68
D.2_part2_personality,1,19,70
D.2_part2_personality,1,20,72
D.2_part2_personality,1,21,74
D.2_part2_personality,1,22,76
D.2_part2_personality,1,23,78
D.2_part2_personality,1,24,80
D.2_part2_personality,1,25,83
D.2_part2_personality,1,26,86
D.2_part2_personality,1,27,89
D.2_part2_personality,1,28,92
D.2_part2_personality,1,29,95
D.2_part2_personality,1,30,98
D.2_part2_personality,1,31,101
D.2_part2_personality,1,32,104
D.2_part2_personality,1,33,107
D.2_part2_personality,1,34,110
D.2_part2_personality,1,35,113
D.2_part2_personality,1,36,115
D.2_part2_personality,2A,0,0
D.2_part2_personality,2A,1,4
D.2_part2_personality,2A,2,10
D.2_part2_personality,2A,3,16
D.2_part2_personality,2A,4,22
D.2_part2_personality,2A,5,27
D.2_part2_personality,2A,6,32
D.2_part2_personality,2A,7,36
D.2_part2_personality,2A,8,40
D.2_part2_personality,2A,9,44
D.2_part2_personality,2A,10,47
D.2_part2_personality,2A,11,50
D.2_part2_personality,2A,12,53
D.2_part2_personality,2A,13,55
D.2_part2_personality,2A,14,57
D.2_part2_personality,2A,15,59
D.2_part2_personality,2A,16,61
D.2_part2_personality,2A,17,63
D.2_part2_personality,2A,18,65
D.2_part2_personality,2A,19,67
D.2_part2_personality,2A,20,69
D.2_part2_personality,2A,21,71
D.2_part2_personality,2A,22,73
D.2_part2_personality,2A,23,75
D.2_part2_personality,2A,24,77
D.2_part2_personality,2A,25,80
D.2_part2_personality,2A,26,83
D.2_part2_personality,2A,27,86
D.2_part2_personality,2A,28,89
D.2_part2_personality,2A,29,92
D.2_part2_personality,2A,30,95
D.2_part2_personality,2A,31,98
D.2_part2_personality,2A,32,101
D.2_part2_personality,2A,33,104
D.2_part2_personality,2A,34,107
D.2_part2_personality,2A,35,110
D.2_part2_personality,2A,36,113
D.2_part2_personality,2A,37,115
D.2_part2_personality,2B,0,0
D.2_part2_personality,2B,1,4
D.2_part2_personality,2B,2,9
D.2_part2_personality,2B,3,15
D.2_part2_personality,2B,4,20
D.2_part2_personality,2B,5,25
D.2_part2_personality,2B,6,30
D.2_part2_personality,2B,7,34
D.2_part2_personality,2B,8,38
D.2_part2_personality,2B,9,42
D.2_part2_personality,2B,10,45
D.2_part2_personality,2B,11,48
D.2_part2_personality,2B,12,51
D.2_part2_personality,2B,13,53
D.2_part2_personality,2B,14,55
D.2_part2_personality,2B,15,57
D.2_part2_personality,2B,16,59
D.2_part2_personality,2B,17,61
D.2_part2_personality,2B,18,63
D.2_part2_personality,2B,19,65
D.2_part2_personality,2B,20,67
D.2_part2_personality,2B,21,69
D.2_part2_personality,2B,22,71
D.2_part2_personality,2B,23,73
D.2_part2_personality,2B,24,75
D.2_part2_personality,2B,25,78
D.2_part2_personality,2B,26,81
D.2_part2_personality,2B,27,84
D.2_part2_personality,2B,28,87
D.2_part2_personality,2B,29,90
D.2_part2_personality,2B,30,93
D.2_part2_personality,2B,31,96
D.2_part2_personality,2B,32,99
D.2_part2_personality,2B,33,102
D.2_part2_personality,2B,34,105
D.2_part2_personality,2B,35,108
D.2_part2_personality,2B,36,111
D.2_part2_personality,2B,37,114
D.2_part2_personality,2B,38,115
D.2_part2_personality,3,0,0
D.2_part2_personality,3,1,6
D.2_part2_personality,3,2,14
D.2_part2_personality,3,3,21
D.2_part2_personality,3,4,28
D.2_part2_personality,3,5,34
D.2_part2_personality,3,6,39
D.2_part2_personality,3,7,44
D.2_part2_personality,3,8,48
D.2_part2_personality,3,9,52
D.2_part2_personality,3,10,55
D.2_part2_personality,3,11,58
D.2_part2_personality,3,12,61
D.2_part2_personality,3,13,64
D.2_part2_personality,3,14,67
D.2_part2_personality,3,15,70
D.2_part2_personality,3,16,73
D.2_part2_personality,3,17,76
D.2_part2_personality,3,18,79
D.2_part2_personality,3,19,82
D.2_part2_personality,3,20,85
